timestamp,test_id,test_name,status,error_details
2026-07-13 13:54:36,1,Basic Addition,PASSED,
2026-07-13 13:54:36,2,Basic Subtraction,PASSED,
2026-07-13 13:54:36,3,Zero Matrix Identity (Add),PASSED,
2026-07-13 13:54:36,4,Zero Matrix Identity (Sub),PASSED,
2026-07-13 13:54:36,5,Subtract from Zero Matrix,PASSED,
2026-07-13 13:54:36,6,Add Large Values,PASSED,
2026-07-13 13:54:36,7,Subtraction resulting in Negatives,PASSED,
2026-07-13 13:54:36,8,Mixed Sign Addition,PASSED,
2026-07-13 13:54:36,9,Addition of Rectangular Matrices,PASSED,
2026-07-13 13:54:36,10,Subtraction of Rectangular Matrices,PASSED,
2026-07-13 13:54:36,11,Square Matrix Multiplication,PASSED,
2026-07-13 13:54:36,12,Multiply by Zero Matrix,PASSED,
2026-07-13 13:54:36,13,Multiply by Identity Matrix,PASSED,
2026-07-13 13:54:36,14,Rectangular Multiplication (2x3 by 3x2),PASSED,
2026-07-13 13:54:36,15,Rectangular Multiplication (3x2 by 2x3),PASSED,
2026-07-13 13:54:36,16,Column Vector times Row Vector (Inner Product),PASSED,
2026-07-13 13:54:36,17,Row Vector times Column Vector (Outer Product),PASSED,
2026-07-13 13:54:36,18,Multiplication with Negative Elements,PASSED,
2026-07-13 13:54:36,19,Multiplication Scalar-like Single Elements,PASSED,
2026-07-13 13:54:36,20,Large Product Computations,PASSED,
2026-07-13 13:54:36,21,Transpose Square Matrices,PASSED,
2026-07-13 13:54:36,22,Transpose Rectangular A and B (Wide),PASSED,
2026-07-13 13:54:36,23,Transpose Rectangular A and B (Tall),PASSED,
2026-07-13 13:54:36,24,Transpose Symmetric Matrix (Should match input),PASSED,
2026-07-13 13:54:36,25,Transpose Row Vector to Column,PASSED,
2026-07-13 13:54:37,26,Transpose Column Vector to Row,CRASHED,
2026-07-13 13:54:37,27,Transpose Single Element Matrices,PASSED,
2026-07-13 13:54:37,28,Smallest Valid Size (1x1 Operations - Add),PASSED,
2026-07-13 13:54:37,29,Smallest Valid Size (1x1 Operations - Sub),PASSED,
2026-07-13 13:54:37,30,Smallest Valid Size (1x1 Operations - Mul),PASSED,
2026-07-13 13:54:37,31,Highly Symmetric Data Pattern Multiplications,PASSED,
2026-07-13 13:54:37,32,Asymmetric Dimensions Matrix Multiplication,FAILED,Output mismatch
2026-07-13 13:54:37,33,Non-Square Flat Row Alternating Signs,PASSED,
2026-07-13 13:54:37,34,4x4 Large Dimension Addition,PASSED,
2026-07-13 13:54:37,35,4x4 Large Dimension Subtraction,PASSED,
2026-07-13 13:54:37,36,4x1 Column Vector Subtraction,PASSED,
2026-07-13 13:54:37,37,Incompatible Addition (Row Mismatch),PASSED,
2026-07-13 13:54:37,38,Incompatible Addition (Col Mismatch),PASSED,
2026-07-13 13:54:37,39,Incompatible Subtraction (Row Mismatch),PASSED,
2026-07-13 13:54:37,40,Incompatible Subtraction (Col Mismatch),PASSED,
2026-07-13 13:54:37,41,Incompatible Multiplication (Inner Dim Mismatch),PASSED,
2026-07-13 13:54:37,42,Incompatible Multiplication Vector Boundary,PASSED,
2026-07-13 13:54:37,43,Incompatible Subtraction Deep Mismatch,PASSED,
2026-07-13 13:54:37,44,Incompatible Addition Swapped Shapes,PASSED,
2026-07-13 13:54:37,45,Incompatible Multiplication Swapped Shapes,PASSED,
2026-07-13 13:54:37,46,Row Count Extreme Incompatibility,PASSED,
2026-07-13 13:54:37,47,Column Count Extreme Incompatibility,PASSED,
2026-07-13 13:54:37,48,Addition Identity Check Matrix Shape,PASSED,
2026-07-13 13:54:37,49,Vector Multiplication Structural Orientation Mismatch,PASSED,
2026-07-13 13:54:37,50,Non-Matching Multiplications Dimensions Check,FAILED,Output mismatch
2026-07-13 13:54:37,51,Nilpotent Matrix Multiplication (A^2 = 0),PASSED,
2026-07-13 13:54:37,52,Idempotent Matrix Multiplication (A^2 = A),PASSED,
2026-07-13 13:54:37,53,Involutory Matrix Multiplication (A^2 = I),PASSED,
2026-07-13 13:54:37,54,Orthogonal Vector Multiplication (Product = 0),PASSED,
2026-07-13 13:54:37,55,Skew-Symmetric Matrix Transpose,PASSED,
2026-07-13 13:54:37,56,Identity Matrix Multiplication (Alternative Sizes),PASSED,
2026-07-13 13:54:37,57,Zero Matrix Multiplication Absorption Property,PASSED,
2026-07-13 13:54:37,58,Repeated Identity Matrix Addition,PASSED,
2026-07-13 13:54:37,59,Matrix Self-Subtraction (Yields Zero),PASSED,
2026-07-13 13:54:37,60,Double Negative Addition Logic,PASSED,
2026-07-13 13:54:37,61,Alternating Row Sign Subtraction,PASSED,
2026-07-13 13:54:37,62,Single Row Scalar Vector Scaling Addition,PASSED,
2026-07-13 13:54:37,63,Diagonal Matrix Multiplication Extraction,PASSED,
2026-07-13 13:54:37,64,Non-Commutative Multiplication Verification (A*B != B*A),PASSED,
2026-07-13 13:54:37,65,Permutation Matrix Swap Row Execution,PASSED,
2026-07-13 13:54:37,66,Subtraction of Inverse Sign Matrix,PASSED,
2026-07-13 13:54:37,67,Multiplication completely populated by Negative Ones,PASSED,
2026-07-13 13:54:37,68,Multiplicative Signs Cancellation Cascade,PASSED,
2026-07-13 13:54:37,69,Mixed Elements Single Value Zero-Crossing (Sub),FAILED,Output mismatch
2026-07-13 13:54:37,70,Asymmetric Sign Column Matrix Addition,PASSED,
2026-07-13 13:54:37,71,Checkerboard Pattern Matrix Addition,PASSED,
2026-07-13 13:54:37,72,Checkerboard Pattern Matrix Subtraction,PASSED,
2026-07-13 13:54:37,73,Highly Negative Elements Rectangular Multiplication,PASSED,
2026-07-13 13:54:37,74,Flat Matrix Subtraction Drop to Negative Value,PASSED,
2026-07-13 13:54:37,75,Large Single Digits Multiplication Verification,PASSED,
2026-07-13 13:54:37,76,Multi-Row Horizontal Strip Addition,PASSED,
2026-07-13 13:54:37,77,Multi-Row Horizontal Strip Subtraction,PASSED,
2026-07-13 13:54:37,78,Multi-Column Vertical Long Strip Addition,PASSED,
2026-07-13 13:54:37,79,Multi-Column Vertical Long Strip Subtraction,PASSED,
2026-07-13 13:54:37,80,Multi-Column Vertical Long Strip Transpose,CRASHED,
